,mlp_f1_scores,arb_md_knn_f1_scores,arb_mdi_mlp_f1_scores,arb_md_gnb_f1_scores,arb_md_svc_f1_scores,cmb_svc_f1_scores,cmb_dtree_f1_scores,arb_mdic_mlp_f1_scores,simpson_f1_scores,arb_md_dtree_f1_scores,cmb_gnb_f1_scores,arb_mdic_dtree_f1_scores,cmb_knn_f1_scores,dowdall_f1_scores,arb_mdi_svc_f1_scores,mean_f1_scores,svc_f1_scores,knn_f1_scores,arb_md_mlp_f1_scores,arb_mdi_gnb_f1_scores,borda_f1_scores,arb_mdi_knn_f1_scores,gnb_f1_scores,arb_mdi_dtree_f1_scores,arb_mdic_svc_f1_scores,plurality_f1_scores,dtree_f1_scores,cmb_mlp_f1_scores,copeland_f1_scores,arb_mdic_knn_f1_scores,arb_mdic_gnb_f1_scores,median_f1_scores
instances,0.0,0.0,8.518376343084751e-06,8.351116389334424e-06,0.0,0.004589269233753004,0.0,0.013386053156403226,0.00951632389559344,0.00011376347466280867,0.07298345640935783,0.0009322841787508605,0.0032373672495637357,0.015459213999525857,0.0012337363726383378,0.003732580605346212,0.02998437432382858,0.03598821482086074,0.0034986841630861324,0.0001218551077008666,0.0,3.256455510302295e-05,0.0008577123585210956,0.0506895631624329,0.7979770760477776,0.0024963429708900827,0.0,0.0,0.0,0.0032277581060545287,0.25207138031612747,0.1124718684599158
features,0.0,0.0,0.0,0.00012142128474726139,0.00016768851830534565,0.054001360075500736,0.051648080884174837,0.1814146713948042,0.05333778388685411,0.0,0.019116005526608082,0.0021239614604760914,0.09966438195264848,0.0,0.0,0.026340057756192033,0.12351543343351604,0.00377231370369873,0.0,8.478549044085535e-06,0.1752232594418891,0.008638531066429603,0.04015403705102856,0.00012313890704073968,0.0,0.022555685805716423,0.0,0.06712128637520194,0.051363825070085585,0.0003728925161975971,0.0026350676941764356,0.0
targets,0.10158477673379254,0.01707421181786814,0.04869644630170784,0.06511325617376683,0.004799098738874551,0.06618378549616691,0.11191947008350742,0.0,0.0018570711297186326,0.0,0.001692497088749972,0.04187216357060861,0.0,0.010062162483529017,0.00011027437198853441,0.061716220359270345,0.0,0.013771890428091764,0.011051935827046255,0.06638487181088314,0.0,0.0006594000885286191,0.009464960409898302,0.01720821434279298,0.20116455583388806,0.06569690882470634,0.002079317425178,0.032896308080691786,0.0801421873401371,0.0,0.0,0.0013713745754862711
silhouette,0.3848708944019864,0.0,0.0,0.0,0.9198579630240937,0.13783251403308577,0.1038007986280534,0.7951310234598862,0.6008063427744994,0.0,0.6663190783326002,0.9500884482506661,0.15914805888239567,0.2932641122332258,0.03106173677373852,0.45121103902150583,0.4061005848654895,0.41188159738856017,0.0,0.0,0.16313270633008997,0.0014892763179331827,0.08428865767420149,0.0,0.0,0.4358006128633179,0.34254970229637927,0.16028114310705224,0.5040144275671837,0.1912704150191283,0.7391923893317097,0.6596259699703818
unbalanced,0.39782782797443156,0.0,0.017922687928016767,0.0,0.00012054839086908715,0.03706025472865247,0.0003181204122491985,0.0006587541071819095,0.03743667010287947,0.06720084721880083,0.039480618023213836,0.00018385645455241612,0.0044062481110311615,0.3412258541062016,0.0,0.4018617348608481,0.3609854565873841,0.36827951299592765,1.475344233084383e-05,0.0,0.1767748195959015,0.0,0.10659061682416993,0.0,0.0,0.4213350186968425,0.17277007118268797,0.01918241353657468,0.3245668472255236,0.0,0.0,0.07294847447202377
n_binary_features,0.009074655819131479,0.0,0.0,0.0,0.0,0.6403174957191917,0.6996083676984413,0.0,0.20784925884947633,0.0,0.0,0.0,0.6650660338482659,0.003413117026599535,0.0,0.018921759447910552,0.06890386958793523,0.0,0.0,0.0,0.45270497800354276,0.0,0.6940528936371682,0.0,0.0,0.019120392485274283,0.367849453092759,0.6482674088331718,0.0,0.12006807396265852,0.0,0.03401296894910443
majority_class_size,0.049085775950633126,0.9814866730079356,0.9330771641336543,0.9326223444690411,0.07454582636352557,0.0008805674022621409,0.010004716165793055,0.00017354115075414084,0.02973054284567029,0.9314789704468862,0.10844717758166104,0.004648426923601438,0.004495326177194846,0.11672181475877018,0.966714760335239,0.03403644914032688,0.010312729927739513,0.1612601698040714,0.9852129712093393,0.9331968619740841,0.01827066252697087,0.05486799216064911,0.0636916389058905,0.9310528265320525,2.545702545243833e-05,0.032941039465695925,0.09683322089527525,0.00042417892475904277,0.03622091222367165,0.6797635930934506,0.0,0.05945382707956259
minority_class_size,0.05379063933269974,0.0010441290400334889,0.0,0.0018227425441854539,0.0,0.05913475331138737,0.022700446127780778,0.0,0.05928124934146549,0.0009036907836596769,0.09196116703780892,0.0,0.06384652353428906,0.21972507341393677,0.0,0.0021801588086000426,0.000124304633222092,0.001483089005579746,0.0,0.0,0.003034718500605985,0.9319258791590298,0.000804296957090304,0.0006237350548547712,0.0,0.0,0.013745208302097507,0.07182726114254834,0.0036918005733983504,0.0,0.0,0.060115516493525145
features_with_na,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
missing_values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overlap,0.003765429787325261,0.00039498613416290046,0.00029518326027796945,0.0003118844118701531,0.0005088749643316239,0.0,0.0,0.009235956730970383,0.00018475717384294275,0.00030272807599049574,0.0,0.0001508591613444898,0.0001360602446111489,0.0001286519782113145,0.0008794921463956484,0.0,7.324664088487084e-05,0.0035632118532098163,0.00022165535819758828,0.00028793255828769767,0.010858855600999947,0.0023863566523267105,9.518618203151214e-05,0.0003025220008261643,0.000832911092881846,5.3998887556422496e-05,0.0041730268056229935,0.0,0.0,0.0052972673025103115,0.006101162657986392,0.0
